section,start_datetime,end_datetime,c_id,description,card_point,trial
1,2014/03/05 00:00:00,2030/03/05 23:59:59,20519,"イオンカードと電子マネー「WAON」がひとつになった便利なカード",,
1,2014/03/05 00:00:00,2030/03/05 23:59:59,8988,"マイルが貯まる！初年度年会費無料！",,
1,2014/03/05 00:00:00,2030/03/05 23:59:59,9727,"CMでおなじみの楽天カード！年会費は永年無料♪",,
1,2014/03/05 00:00:00,2030/03/05 23:59:59,20522,"年会費無料！全国のイオンのお店でのお買い物がお得に",,
1,2014/03/05 00:00:00,2030/03/05 23:59:59,13528,"年会費永年無料！新規カード発行完了で",,
1,2014/03/05 00:00:00,2030/03/05 23:59:59,21911,"初年度年会費無料！新規カード発行完了で",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,21907,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,8989,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,8259,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,20518,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,4471,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,21909,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,8997,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,8994,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,9649,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,8995,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,10794,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,8991,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,8992,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,8993,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,3743,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,7588,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,9731,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,9736,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,10820,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,10165,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,10796,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,9734,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,8996,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,21051,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,10308,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,10819,"",,
2,2014/03/05 00:00:00,2030/03/05 23:59:59,10388,"",,
